"shopify_product_id","title","stone_name","stone_handle","review_decision","priority","failed_checks","precise_reason","proposed_stone_description","proposed_taxonomy_correction"
"10685896753499","Boucles d'oreilles puces en obsidienne noire - 10 mm","Obsidienne noire","obsidienne-noire","A_CORRIGER","P2","français naturel;apparence spécifique","Palette noir brillant n'est pas une palette et la phrase ne décrit pas proprement l'éclat vitreux de l'obsidienne.","L'obsidienne noire de ces boucles présente une couleur profonde et un éclat vitreux sous le poli. L'intensité du brillant et de discrètes variations de surface peuvent différer d'une perle à l'autre. En lithothérapie, l'obsidienne noire est associée à la protection et à l'ancrage.",""
"10357452669275","Bracelet en dumortiérite 6 mm","Dumortiérite","dumortierite","A_CORRIGER","P2","phrase complète;français naturel","La première phrase, Une pierre polie bleu denim à bleu nuit, ne contient aucun verbe conjugué.","La dumortiérite présente une base bleu denim à bleu nuit, ponctuée de zones grises, blanches ou presque noires. Leur répartition, l'intensité du bleu et le dessin de chaque perle varient naturellement. En lithothérapie, la dumortiérite est associée à la concentration, à la patience et à la confiance.",""
"10669950107995","Bracelet en turquoise d'Afrique 6 mm - 16 à 18 cm","Turquoise d'Afrique","turquoise","A_CORRIGER","P3","orthographe du nom de pierre","Le nom propre Afrique perd sa majuscule dans la phrase de lithothérapie.","Les perles rondes polies de turquoise d'Afrique mêlent bleu vert, vert olive et veines brunes irrégulières. Leur dessin, la proportion de chaque couleur et la répartition des inclusions varient naturellement d'une perle à l'autre. En lithothérapie, cette pierre est associée à la confiance et à l'expression.",""
"10358876209499","Pendule hexagonal en améthyste du Brésil","Améthyste","amethyste","A_CORRIGER","P2","phrase complète;français naturel","La première phrase, Une améthyste polie violette à zones laiteuses, ne contient aucun verbe conjugué.","L'améthyste de ce pendule présente un violet poli traversé de zones laiteuses. Les nuances, la transparence et la répartition des inclusions varient naturellement d'un exemplaire à l'autre. En lithothérapie, l'améthyste est associée à l'intuition, au calme et à la clarté.",""
"10358581166427","Pendule égyptien en quartz rose du Brésil","Quartz rose","quartz-rose","A_CORRIGER","P2","phrase complète;français naturel","La première phrase, Un quartz rose poli, rose pâle et légèrement translucide, ne contient aucun verbe conjugué.","Le quartz rose de ce pendule présente une teinte rose pâle, légèrement translucide et traversée de voiles naturels. L'intensité de la couleur, la transparence et le dessin interne varient d'un exemplaire à l'autre. En lithothérapie, le quartz rose est associé à la douceur, à l'apaisement et à l'intuition.",""
"10357430649179","Boucles d'oreilles puces en cornaline 8 mm","Cornaline","cornaline","A_CORRIGER","P2","phrase complète;français naturel","La première phrase, Une pierre polie orange à rouge, ne contient aucun verbe conjugué.","La cornaline de ces boucles présente une teinte orange à rouge, parfois translucide sous le poli. L'intensité de la couleur, les zones laiteuses et les inclusions varient naturellement d'une perle à l'autre. En lithothérapie, la cornaline est associée à la vitalité, à l'élan et à la confiance.",""
"10357707014491","Distributeur Savon Lapis-Lazuli","Lapis Lazuli","lapis-lazuli","A_CORRIGER","P3","orthotypographie du nom de pierre","La dernière phrase écrit lapis lazuli sans trait d'union, contrairement à la forme canonique déjà employée dans le même texte.","Le lapis-lazuli présente un bleu profond, parfois ponctué de zones plus claires et de petites inclusions grises ou dorées. Le dessin, l'intensité du bleu et la répartition de ces inclusions varient naturellement sur la pierre. En lithothérapie, le lapis-lazuli est associé à la clarté et à l'expression.",""
"10359674765659","Orgonite Pointe Lapis-Lazuli","Lapis Lazuli","lapis-lazuli","A_CORRIGER","P3","orthotypographie du nom de pierre","La dernière phrase écrit lapis lazuli sans trait d'union, contrairement à la forme canonique déjà employée dans le même texte.","Le lapis-lazuli inclus dans cette pointe présente un bleu profond ponctué de zones plus claires et de petites inclusions grises ou dorées. La taille des éclats et la répartition de ces nuances varient naturellement d'un exemplaire à l'autre. En lithothérapie, le lapis-lazuli est associé à la clarté et à l'expression.",""
"10488166220123","Bracelet Lapis Lazuli Onyx","Lapis Lazuli","lapis-lazuli","A_CORRIGER","P2","cohérence stone_name-stone_handles","La description et le titre prouvent une composition lapis-lazuli et onyx, mais stone_handles est absent. La navigation secondaire est incomplète.","","Conserver stone_handle=lapis-lazuli comme pierre principale et définir stone_handles=[lapis-lazuli, onyx] après validation du format Shopify."
"10670434353499","Bracelet Kahel argenté en onyx et pierre de lave 8 mm","Onyx et pierre de lave","onyx","A_CORRIGER","P2","cohérence stone_name-stone_handles","La description et stone_name nomment la pierre de lave, mais stone_handles contient seulement onyx.","","Conserver stone_handle=onyx et ajouter pierre-de-lave à stone_handles après validation du slug canonique."
"10669294158171","Bracelet doré en sodalite et pierres bleues","Sodalite","sodalite","A_CORRIGER","P2","cohérence description-stone_handles","La description prouve sodalite, lapis-lazuli traité, aigue-marine et cristal de roche, mais stone_handles omet cristal-de-roche.","","Conserver stone_handle=sodalite et ajouter cristal-de-roche à stone_handles. Ne pas modifier les autres valeurs sans nouvelle preuve."
