rank;score;tier;type;target;channel;angle;status;checked_on
22;69;B;wedding;Queen For A Day;https://www.queenforaday.fr/contact/;Selection bijoux de mariee et temoins;QUALIFIED;2026-09-08
23;69;B;wedding;ALBE Editions;https://albe-editions.com/contact/;Editorial mariage et accessoires en pierres;QUALIFIED;2026-09-08
24;68;B;wedding;Mariages.net;https://www.mariages.net/contact;Profil fournisseur et contenu conseil;QUALIFIED;2026-09-08
25;67;B;wedding;Zankyou France;https://www.zankyou.fr/contact;Profil fournisseur et selection editoriale;QUALIFIED;2026-09-08
26;66;B;media;Vogue France;https://www.vogue.fr/joaillerie/article/6-comptes-instagram-pour-tout-comprendre-des-bienfaits-des-cristaux;Actualisation tendance cristaux et bijoux;EDITORIAL_LONG_SHOT;2026-09-08
27;65;B;media;ELLE France;https://www.elle.fr/pages/contacts;Shopping bijoux en pierres et tendance;EDITORIAL_LONG_SHOT;2026-09-08
28;64;C;media;Marie Claire;https://www.marieclaire.fr/contact/;Mode bien-etre et idees cadeaux;EDITORIAL_LONG_SHOT;2026-09-08
29;64;C;media;Le Journal des Femmes;https://www.journaldesfemmes.fr/contact/;Guide achat bijoux en pierres;EDITORIAL_LONG_SHOT;2026-09-08
30;63;C;media;Aufeminin;https://www.aufeminin.com/contact/;Selection shopping et tendance bijoux;EDITORIAL_LONG_SHOT;2026-09-08
31;62;C;media;Madame Figaro;https://madame.lefigaro.fr/contact;Angle mode bijoux de couleur;EDITORIAL_LONG_SHOT;2026-09-08
32;62;C;media;Happinez France;https://www.happinez.fr/contact/;Rituels du quotidien et symbolique des pierres;QUALIFIED;2026-09-08
33;61;C;media;Psychologies;https://www.psychologies.com/contact;Objet symbolique et bien-etre emotionnel;EDITORIAL_LONG_SHOT;2026-09-08
34;61;C;media;Holissence;https://www.holissence.com/contact/;Tendance wellness bijoux et mineraux;QUALIFIED;2026-09-08
35;60;C;creator;Audrey Lombard;https://www.instagram.com/audreylombard/;Yoga mouvement et bijou discret;DM_RESEARCH;2026-09-08
36;60;C;creator;Clarisse Ernoux;https://www.instagram.com/clarisseernoux/;Routine mouvement et pierre symbolique;DM_RESEARCH;2026-09-08
37;59;C;creator;Alice Girard Yoga;https://www.instagram.com/alicegirardyoga/;Yoga douceur et couleurs minerales;DM_RESEARCH;2026-09-08
38;59;C;creator;Alexandra Rosenfeld;https://www.instagram.com/alexandrarosenfeld/;Cercles de femmes et bijoux symboliques;DM_RESEARCH;2026-09-08
39;58;C;creator;Marion Piscione;https://www.instagram.com/zoelamodeuze/;Lifestyle sportif et bijou naturel;DM_RESEARCH;2026-09-08
40;58;C;creator;Anne Dubndidu;https://www.instagram.com/annedubndidu/;Sport bienveillant yoga et pierre a porter;DM_RESEARCH;2026-09-08
41;57;C;creator;Sacha Yoga;https://www.instagram.com/sachayoga/;Pratique yoga et accessoire symbolique;DM_RESEARCH;2026-09-08
42;57;C;creator;Yoga with Jul;https://www.instagram.com/yogawithjul/;Pratique quotidienne et bijou minimal;DM_RESEARCH;2026-09-08
43;56;C;creator;Maya Yoga Kine;https://www.instagram.com/mayayoga.kine/;Mouvement et choix d une pierre sans allegue medicale;DM_RESEARCH;2026-09-08
44;56;C;creator;Camille CMP;https://www.instagram.com/camillecmp/;Lifestyle mouvement et bijoux colores;DM_RESEARCH;2026-09-08
45;56;C;creator;The Green Geekette;https://www.instagram.com/zegreengeekette/;Voyage yoga et selection responsable;DM_RESEARCH;2026-09-08
46;55;C;creator;Alex Avila Yoga;https://www.instagram.com/alexavilayoga/;Yoga et objets de rituel;DM_RESEARCH;2026-09-08
47;55;C;creator;Mermaid Yogini;https://www.instagram.com/mermaid_yogini/;Yoga feminin et bijoux aquamarine;DM_RESEARCH;2026-09-08
48;55;C;creator;Yael Uzan;https://www.instagram.com/yaeluzan/;Yoga et pierre de naissance;DM_RESEARCH;2026-09-08
49;54;C;creator;Little Blue Kiwi;https://www.instagram.com/littlebluekiwi/;Yoga lifestyle et bijoux naturels;DM_RESEARCH;2026-09-08
50;54;C;creator;Maeva Boldron;https://www.instagram.com/maevaboldron/;Yoga et energie au quotidien;DM_RESEARCH;2026-09-08
51;54;C;creator;Wellness by Jade;https://www.instagram.com/wellnessbyjade/;Coaching bien-etre et pierre symbolique;DM_RESEARCH;2026-09-08
52;53;C;creator;Klara Puski;https://www.instagram.com/klarapuski/;Yoga et selection bijoux;DM_RESEARCH;2026-09-08
53;53;C;creator;The Tiny Yogini;https://www.instagram.com/the_tiny_yogini/;Yoga et rituel de poche;DM_RESEARCH;2026-09-08
54;53;C;creator;Yoga Danse Official;https://www.instagram.com/yogadanseofficial/;Mouvement danse et bijoux en pierres;DM_RESEARCH;2026-09-08
55;52;C;creator;Gemma Vassallo;https://www.instagram.com/gemmavassallo/;Yoga teacher et cadeau pierre de naissance;DM_RESEARCH;2026-09-08
56;52;C;creator;Marine BVT;https://www.instagram.com/_marine_bvt_/;Yoga et couleur minerale;DM_RESEARCH;2026-09-08
57;52;C;creator;French Yogin Dubai;https://www.instagram.com/frenchyogindubai/;Yoga francophone et bijou leger;DM_RESEARCH;2026-09-08
58;51;C;creator;Virginie Duval;https://www.instagram.com/virginie.duval/;Yoga et pierre intentionnelle;DM_RESEARCH;2026-09-08
59;51;C;creator;Pia Le Cannu;https://www.instagram.com/pialecannu/;Yoga et bijoux du quotidien;DM_RESEARCH;2026-09-08
60;51;C;creator;Yoga with Nic;https://www.instagram.com/nicolemartyyoga/;Yoga et selection de Karine;DM_RESEARCH;2026-09-08
61;50;C;creator;Yogart Rouen;https://www.instagram.com/yogart_rouen/;Studio yoga et lot concours local;DM_RESEARCH;2026-09-08
62;50;C;creator;Valerie Allibe;https://www.instagram.com/valerieallibe/;Yoga et guide debutant;DM_RESEARCH;2026-09-08
63;50;C;creator;Barbarella Moon;https://www.instagram.com/barbarella.moon/;Univers lune et pierres naturelles;DM_RESEARCH;2026-09-08
64;69;B;lithotherapy;Stones Club;https://www.instagram.com/stonesclub/;Tendance cristaux et collaboration editoriale;QUALIFIED;2026-09-08
65;68;B;lithotherapy;LUDS;https://www.instagram.com/luds.fr/;Podcast lithotherapie et energies positives;QUALIFIED;2026-09-08
66;67;B;lithotherapy;22H22MN;https://22h22mn.fr/a-propos/;Echange autour du choix et de la provenance;QUALIFIED;2026-09-08
67;66;B;lithotherapy;Wydiane Khaoua;https://wydiane-khaoua.com/index.php/wydiane-khaoua-lithotherapie-astrologie/;Interview expertise lithotherapie;QUALIFIED;2026-09-08
68;65;B;lithotherapy;La Roche Mere - Regina Martino;https://www.larochemere.fr/vid%C3%A9os/;Interview cristaux et chakras;QUALIFIED;2026-09-08
69;64;C;lithotherapy;Crystal Geek;https://www.instagram.com/crystal.geek/;Video pedagogique autour des pierres;QUALIFIED;2026-09-08
70;63;C;media;Aux Pierres Magiques;https://auxpierresmagiques.fr/a-propos/;Article invite et test de guide;QUALIFIED;2026-09-08
71;62;C;lithotherapy;Cristal Yoga;https://cristalyoga.fr/;Yoga et pierres avec contenu croise;QUALIFIED;2026-09-08
72;61;C;lithotherapy;Nathalie Lacombe;https://nathalielacombe.fr/pages/notre-petite-histoire;Live ou contenu croise sur les cristaux;QUALIFIED;2026-09-08
73;60;C;reiki;Irina Coyssi;https://www.irinacoyssi.com/;Reiki et objets symboliques;QUALIFIED;2026-09-08
74;60;C;reiki;Eva Majgaard;https://www.eva-majgaard.fr/;Reiki hypersensibilite et ritualisation;QUALIFIED;2026-09-08
75;59;C;reiki;Claudia Razimowsky;https://www.claudiarazimowsky.com/instagram;Reiki et bijoux comme ancrage visuel;QUALIFIED;2026-09-08
76;59;C;podcast;Prends Conscience;https://www.instagram.com/prends__conscience/;Meditation hypnose reiki et symbolique;QUALIFIED;2026-09-08
77;58;C;podcast;Les Voyages Interieurs de Thomas;https://www.uneecolepourlarelation.fr/;Meditation guidee et pierre comme support d intention;QUALIFIED;2026-09-08
78;58;C;podcast;Podcast Spiritualite;https://podcastspiritualite.com/;Episode sur pierres croyances et usage quotidien;QUALIFIED;2026-09-08
79;57;C;podcast;La Petite Voix;https://www.lapetitevoix.co/contact/;Portrait entrepreneure bien-etre a Metz;QUALIFIED;2026-09-08
80;57;C;podcast;InPower;https://www.inpowerpodcast.fr/contact;Parcours Karine et creation d une marque de niche;LONG_SHOT;2026-09-08
81;56;C;podcast;Change ma vie;https://changemavie.com/contact/;Objet rituel et habitudes du quotidien;LONG_SHOT;2026-09-08
82;56;C;podcast;Bliss Stories;https://www.bliss-stories.fr/contact/;Bijou de naissance et cadeau symbolique;LONG_SHOT;2026-09-08
83;55;C;podcast;Generation Do It Yourself;https://www.gdiy.fr/contact/;Parcours entrepreneure e-commerce locale;LONG_SHOT;2026-09-08
84;55;C;podcast;Le Gratin;https://www.le-gratin.fr/contact/;Creation de marque et retail specialise;LONG_SHOT;2026-09-08
85;70;B;local;Agence Inspire Metz;https://www.tourisme-metz.com/fr/contact;Shopping local et portrait de commerce;QUALIFIED;2026-09-08
86;69;B;local;Hello Metz;https://www.hello-metz.com/contact;Adresse shopping locale et bijoux;SENT_VERIFIED_2026-09-08;2026-09-08
87;68;B;local;BLIIIDA;https://bliiida.fr/contact/;Ecosysteme creatif messin et pop-up;QUALIFIED;2026-09-08
88;67;B;local;Tout-Metz;https://tout-metz.com/contact/;Portrait boutique de Metz;SENT_2026-09-07;2026-09-08
89;66;B;local;Le Republicain Lorrain;https://www.republicain-lorrain.fr/contact;Commerce local et tendance bijoux;QUALIFIED;2026-09-08
90;65;B;local;ici Lorraine;https://www.francebleu.fr/lorraine-nord;Chronique locale commerce et tendances;QUALIFIED;2026-09-08
91;64;C;local;Moselle TV;https://moselle.tv/contact/;Portrait video boutique messine;QUALIFIED;2026-09-08
92;63;C;local;La Semaine Metz Nancy;https://www.lasemaine.fr/contact/;Economie locale et shopping;QUALIFIED;2026-09-08
93;62;C;local;Le Mag Eurometropole Metz;https://www.eurometropolemetz.eu/contact.html;Initiative commerciale locale;QUALIFIED;2026-09-08
94;61;C;local;France 3 Grand Est;https://france3-regions.francetvinfo.fr/grand-est/contactez-nous;Angle tendance locale et entrepreneuriat;LONG_SHOT;2026-09-08
95;60;C;local;Made in Lorraine;https://madeinlorraine.fr/contact/;Selection cadeaux et entreprises locales;QUALIFIED;2026-09-08
96;59;C;local;Lorraine Magazine;https://www.lorrainemag.com/contact/;Shopping bien-etre et createurs locaux;QUALIFIED;2026-09-08
97;58;C;local;Puissance Television;https://www.puissancetelevision.fr/contact/;Portrait video entrepreneure locale;QUALIFIED;2026-09-08
98;57;C;local;RCF Jerico Moselle;https://www.rcf.fr/contact;Interview locale bien-etre et entrepreneuriat;QUALIFIED;2026-09-08
99;56;C;local;Direct FM;https://www.directfm.fr/contact;Chronique commerce local et idee cadeau;QUALIFIED;2026-09-08
100;55;C;media;Radio Ici et Maintenant;https://www.radioicietmaintenant.com/contact/;Emission spiritualite et pratiques alternatives;QUALIFIED;2026-09-08
